12/10/2014 03:25:33 PM DEBUG: Loading data...
12/10/2014 03:25:33 PM DEBUG: Loading data...
12/10/2014 03:25:33 PM DEBUG: Initialize AveragePerceptronLearner ... 
12/10/2014 03:25:33 PM DEBUG: Loading data...
12/10/2014 03:25:33 PM DEBUG: Loading section 02 
12/10/2014 03:25:44 PM DEBUG: Loading section 03 
12/10/2014 03:25:54 PM DEBUG: Loading section 04 
12/10/2014 03:26:09 PM DEBUG: Loading section 05 
12/10/2014 03:26:23 PM DEBUG: Loading section 06 
12/10/2014 03:26:35 PM DEBUG: Loading section 07 
12/10/2014 03:26:50 PM DEBUG: Loading section 08 
12/10/2014 03:26:52 PM DEBUG: Loading section 09 
12/10/2014 03:27:08 PM DEBUG: Loading section 10 
12/10/2014 03:27:18 PM DEBUG: Loading section 11 
12/10/2014 03:27:35 PM DEBUG: Loading section 12 
12/10/2014 03:27:46 PM DEBUG: Loading section 13 
12/10/2014 03:28:06 PM DEBUG: Loading section 14 
12/10/2014 03:28:17 PM DEBUG: Loading section 15 
12/10/2014 03:28:37 PM DEBUG: Loading section 16 
12/10/2014 03:28:52 PM DEBUG: Loading section 17 
12/10/2014 03:29:00 PM DEBUG: Loading section 18 
12/10/2014 03:29:24 PM DEBUG: Loading section 19 
12/10/2014 03:29:34 PM DEBUG: Loading section 20 
12/10/2014 03:29:44 PM DEBUG: Loading section 21 
12/10/2014 05:01:26 PM DEBUG: Data finishing 87.87% ...
12/10/2014 05:03:55 PM DEBUG: Data finishing 90.38% ...
12/10/2014 05:06:25 PM DEBUG: Data finishing 92.89% ...
12/10/2014 05:09:03 PM DEBUG: Data finishing 95.40% ...
12/10/2014 05:11:38 PM DEBUG: Data finishing 97.91% ...
12/10/2014 05:14:13 PM DEBUG: Iteration: 1
12/10/2014 05:14:13 PM DEBUG: Data size: 39832
12/10/2014 05:14:13 PM DEBUG: Data finishing 0.00% ...
12/10/2014 05:14:21 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_0.db 
12/10/2014 05:14:21 PM DEBUG: Total Feature Num: 9534142 
12/10/2014 05:17:05 PM DEBUG: Data finishing 2.51% ...
12/10/2014 05:19:48 PM DEBUG: Data finishing 5.02% ...
12/10/2014 05:22:30 PM DEBUG: Data finishing 7.53% ...
12/10/2014 05:25:00 PM DEBUG: Data finishing 10.04% ...
12/10/2014 05:27:33 PM DEBUG: Data finishing 12.55% ...
12/10/2014 05:30:30 PM DEBUG: Data finishing 15.06% ...
12/10/2014 05:33:08 PM DEBUG: Data finishing 17.57% ...
12/10/2014 05:35:53 PM DEBUG: Data finishing 20.08% ...
12/10/2014 05:38:42 PM DEBUG: Data finishing 22.59% ...
12/10/2014 05:41:18 PM DEBUG: Data finishing 25.11% ...
12/10/2014 05:43:54 PM DEBUG: Data finishing 27.62% ...
12/10/2014 05:46:23 PM DEBUG: Data finishing 30.13% ...
12/10/2014 05:49:12 PM DEBUG: Data finishing 32.64% ...
12/10/2014 05:51:50 PM DEBUG: Data finishing 35.15% ...
12/10/2014 05:54:30 PM DEBUG: Data finishing 37.66% ...
12/10/2014 05:57:09 PM DEBUG: Data finishing 40.17% ...
12/10/2014 05:59:45 PM DEBUG: Data finishing 42.68% ...
12/10/2014 06:02:10 PM DEBUG: Data finishing 45.19% ...
12/10/2014 06:04:50 PM DEBUG: Data finishing 47.70% ...
12/10/2014 06:07:14 PM DEBUG: Data finishing 50.21% ...
12/10/2014 06:09:41 PM DEBUG: Data finishing 52.72% ...
12/10/2014 06:12:11 PM DEBUG: Data finishing 55.23% ...
12/10/2014 06:14:44 PM DEBUG: Data finishing 57.74% ...
12/10/2014 06:17:34 PM DEBUG: Data finishing 60.25% ...
12/10/2014 06:20:05 PM DEBUG: Data finishing 62.76% ...
12/10/2014 06:22:42 PM DEBUG: Data finishing 65.27% ...
12/10/2014 06:25:12 PM DEBUG: Data finishing 67.78% ...
12/10/2014 06:27:56 PM DEBUG: Data finishing 70.30% ...
12/10/2014 06:30:46 PM DEBUG: Data finishing 72.81% ...
12/10/2014 06:33:17 PM DEBUG: Data finishing 75.32% ...
12/10/2014 06:35:38 PM DEBUG: Data finishing 77.83% ...
12/10/2014 06:38:15 PM DEBUG: Data finishing 80.34% ...
12/10/2014 06:40:55 PM DEBUG: Data finishing 82.85% ...
12/10/2014 06:43:31 PM DEBUG: Data finishing 85.36% ...
12/10/2014 06:46:21 PM DEBUG: Data finishing 87.87% ...
12/10/2014 06:48:49 PM DEBUG: Data finishing 90.38% ...
12/10/2014 06:51:19 PM DEBUG: Data finishing 92.89% ...
12/10/2014 06:53:55 PM DEBUG: Data finishing 95.40% ...
12/10/2014 06:56:29 PM DEBUG: Data finishing 97.91% ...
12/10/2014 06:59:03 PM DEBUG: Iteration: 2
12/10/2014 06:59:03 PM DEBUG: Data size: 39832
12/10/2014 06:59:03 PM DEBUG: Data finishing 0.00% ...
12/10/2014 06:59:11 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_1.db 
12/10/2014 06:59:11 PM DEBUG: Total Feature Num: 9886118 
12/10/2014 07:01:55 PM DEBUG: Data finishing 2.51% ...
12/10/2014 07:04:37 PM DEBUG: Data finishing 5.02% ...
12/10/2014 07:07:19 PM DEBUG: Data finishing 7.53% ...
12/10/2014 07:09:49 PM DEBUG: Data finishing 10.04% ...
12/10/2014 07:12:21 PM DEBUG: Data finishing 12.55% ...
12/10/2014 07:15:19 PM DEBUG: Data finishing 15.06% ...
12/10/2014 07:17:56 PM DEBUG: Data finishing 17.57% ...
12/10/2014 07:20:41 PM DEBUG: Data finishing 20.08% ...
12/10/2014 07:23:29 PM DEBUG: Data finishing 22.59% ...
12/10/2014 07:26:06 PM DEBUG: Data finishing 25.11% ...
12/10/2014 07:28:41 PM DEBUG: Data finishing 27.62% ...
12/10/2014 07:31:09 PM DEBUG: Data finishing 30.13% ...
12/10/2014 07:33:58 PM DEBUG: Data finishing 32.64% ...
12/10/2014 07:36:36 PM DEBUG: Data finishing 35.15% ...
12/10/2014 07:39:15 PM DEBUG: Data finishing 37.66% ...
12/10/2014 07:41:54 PM DEBUG: Data finishing 40.17% ...
12/10/2014 07:44:30 PM DEBUG: Data finishing 42.68% ...
12/10/2014 07:46:55 PM DEBUG: Data finishing 45.19% ...
12/10/2014 07:49:34 PM DEBUG: Data finishing 47.70% ...
12/10/2014 07:51:58 PM DEBUG: Data finishing 50.21% ...
12/10/2014 07:54:24 PM DEBUG: Data finishing 52.72% ...
12/10/2014 07:56:54 PM DEBUG: Data finishing 55.23% ...
12/10/2014 07:59:27 PM DEBUG: Data finishing 57.74% ...
12/10/2014 08:02:17 PM DEBUG: Data finishing 60.25% ...
12/10/2014 08:04:48 PM DEBUG: Data finishing 62.76% ...
12/10/2014 08:07:25 PM DEBUG: Data finishing 65.27% ...
12/10/2014 08:09:55 PM DEBUG: Data finishing 67.78% ...
12/10/2014 08:12:38 PM DEBUG: Data finishing 70.30% ...
12/10/2014 08:15:27 PM DEBUG: Data finishing 72.81% ...
12/10/2014 08:17:58 PM DEBUG: Data finishing 75.32% ...
12/10/2014 08:20:19 PM DEBUG: Data finishing 77.83% ...
12/10/2014 08:22:56 PM DEBUG: Data finishing 80.34% ...
12/10/2014 08:25:36 PM DEBUG: Data finishing 82.85% ...
12/10/2014 08:28:11 PM DEBUG: Data finishing 85.36% ...
12/10/2014 08:31:01 PM DEBUG: Data finishing 87.87% ...
12/10/2014 08:33:29 PM DEBUG: Data finishing 90.38% ...
12/10/2014 08:35:59 PM DEBUG: Data finishing 92.89% ...
12/10/2014 08:38:34 PM DEBUG: Data finishing 95.40% ...
12/10/2014 08:41:09 PM DEBUG: Data finishing 97.91% ...
12/10/2014 08:43:43 PM DEBUG: Iteration: 3
12/10/2014 08:43:43 PM DEBUG: Data size: 39832
12/10/2014 08:43:43 PM DEBUG: Data finishing 0.00% ...
12/10/2014 08:43:51 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_2.db 
12/10/2014 08:43:51 PM DEBUG: Total Feature Num: 10066840 
12/10/2014 08:46:35 PM DEBUG: Data finishing 2.51% ...
12/10/2014 08:49:17 PM DEBUG: Data finishing 5.02% ...
12/10/2014 08:51:59 PM DEBUG: Data finishing 7.53% ...
12/10/2014 08:54:29 PM DEBUG: Data finishing 10.04% ...
12/10/2014 08:57:01 PM DEBUG: Data finishing 12.55% ...
12/10/2014 08:59:59 PM DEBUG: Data finishing 15.06% ...
12/10/2014 09:02:36 PM DEBUG: Data finishing 17.57% ...
12/10/2014 09:05:22 PM DEBUG: Data finishing 20.08% ...
12/10/2014 09:08:10 PM DEBUG: Data finishing 22.59% ...
12/10/2014 09:10:46 PM DEBUG: Data finishing 25.11% ...
12/10/2014 09:13:22 PM DEBUG: Data finishing 27.62% ...
12/10/2014 09:15:50 PM DEBUG: Data finishing 30.13% ...
12/10/2014 09:18:39 PM DEBUG: Data finishing 32.64% ...
12/10/2014 09:21:17 PM DEBUG: Data finishing 35.15% ...
12/10/2014 09:23:57 PM DEBUG: Data finishing 37.66% ...
12/10/2014 09:26:35 PM DEBUG: Data finishing 40.17% ...
12/10/2014 09:29:11 PM DEBUG: Data finishing 42.68% ...
12/10/2014 09:31:36 PM DEBUG: Data finishing 45.19% ...
12/10/2014 09:34:16 PM DEBUG: Data finishing 47.70% ...
12/10/2014 09:36:40 PM DEBUG: Data finishing 50.21% ...
12/10/2014 09:39:06 PM DEBUG: Data finishing 52.72% ...
12/10/2014 09:41:36 PM DEBUG: Data finishing 55.23% ...
12/10/2014 09:44:09 PM DEBUG: Data finishing 57.74% ...
12/10/2014 09:46:59 PM DEBUG: Data finishing 60.25% ...
12/10/2014 09:49:30 PM DEBUG: Data finishing 62.76% ...
12/10/2014 09:52:07 PM DEBUG: Data finishing 65.27% ...
12/10/2014 09:54:37 PM DEBUG: Data finishing 67.78% ...
12/10/2014 09:57:20 PM DEBUG: Data finishing 70.30% ...
12/10/2014 10:00:10 PM DEBUG: Data finishing 72.81% ...
12/10/2014 10:02:41 PM DEBUG: Data finishing 75.32% ...
12/10/2014 10:05:02 PM DEBUG: Data finishing 77.83% ...
12/10/2014 10:07:39 PM DEBUG: Data finishing 80.34% ...
12/10/2014 10:10:19 PM DEBUG: Data finishing 82.85% ...
12/10/2014 10:12:54 PM DEBUG: Data finishing 85.36% ...
12/10/2014 10:15:44 PM DEBUG: Data finishing 87.87% ...
12/10/2014 10:18:12 PM DEBUG: Data finishing 90.38% ...
12/10/2014 10:20:41 PM DEBUG: Data finishing 92.89% ...
12/10/2014 10:23:17 PM DEBUG: Data finishing 95.40% ...
12/10/2014 10:25:51 PM DEBUG: Data finishing 97.91% ...
12/10/2014 10:28:25 PM DEBUG: Iteration: 4
12/10/2014 10:28:25 PM DEBUG: Data size: 39832
12/10/2014 10:28:25 PM DEBUG: Data finishing 0.00% ...
12/10/2014 10:28:34 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_3.db 
12/10/2014 10:28:34 PM DEBUG: Total Feature Num: 10174094 
12/10/2014 10:31:18 PM DEBUG: Data finishing 2.51% ...
12/10/2014 10:34:01 PM DEBUG: Data finishing 5.02% ...
12/10/2014 10:36:42 PM DEBUG: Data finishing 7.53% ...
12/10/2014 10:39:12 PM DEBUG: Data finishing 10.04% ...
12/10/2014 10:41:45 PM DEBUG: Data finishing 12.55% ...
12/10/2014 10:44:42 PM DEBUG: Data finishing 15.06% ...
12/10/2014 10:47:20 PM DEBUG: Data finishing 17.57% ...
12/10/2014 10:50:05 PM DEBUG: Data finishing 20.08% ...
12/10/2014 10:52:54 PM DEBUG: Data finishing 22.59% ...
12/10/2014 10:55:31 PM DEBUG: Data finishing 25.11% ...
12/10/2014 10:58:06 PM DEBUG: Data finishing 27.62% ...
12/10/2014 11:00:34 PM DEBUG: Data finishing 30.13% ...
12/10/2014 11:03:23 PM DEBUG: Data finishing 32.64% ...
12/10/2014 11:06:02 PM DEBUG: Data finishing 35.15% ...
12/10/2014 11:08:41 PM DEBUG: Data finishing 37.66% ...
12/10/2014 11:11:19 PM DEBUG: Data finishing 40.17% ...
12/10/2014 11:13:55 PM DEBUG: Data finishing 42.68% ...
12/10/2014 11:16:21 PM DEBUG: Data finishing 45.19% ...
12/10/2014 11:19:01 PM DEBUG: Data finishing 47.70% ...
12/10/2014 11:21:25 PM DEBUG: Data finishing 50.21% ...
12/10/2014 11:23:51 PM DEBUG: Data finishing 52.72% ...
12/10/2014 11:26:21 PM DEBUG: Data finishing 55.23% ...
12/10/2014 11:28:54 PM DEBUG: Data finishing 57.74% ...
12/10/2014 11:31:44 PM DEBUG: Data finishing 60.25% ...
12/10/2014 11:34:15 PM DEBUG: Data finishing 62.76% ...
12/10/2014 11:36:52 PM DEBUG: Data finishing 65.27% ...
12/10/2014 11:39:21 PM DEBUG: Data finishing 67.78% ...
12/10/2014 11:42:05 PM DEBUG: Data finishing 70.30% ...
12/10/2014 11:44:54 PM DEBUG: Data finishing 72.81% ...
12/10/2014 11:47:25 PM DEBUG: Data finishing 75.32% ...
12/10/2014 11:49:46 PM DEBUG: Data finishing 77.83% ...
12/10/2014 11:52:23 PM DEBUG: Data finishing 80.34% ...
12/10/2014 11:55:03 PM DEBUG: Data finishing 82.85% ...
12/10/2014 11:57:39 PM DEBUG: Data finishing 85.36% ...
12/11/2014 12:00:29 AM DEBUG: Data finishing 87.87% ...
12/11/2014 12:02:57 AM DEBUG: Data finishing 90.38% ...
12/11/2014 12:05:26 AM DEBUG: Data finishing 92.89% ...
12/11/2014 12:08:02 AM DEBUG: Data finishing 95.40% ...
12/11/2014 12:10:36 AM DEBUG: Data finishing 97.91% ...
12/11/2014 12:13:11 AM DEBUG: Iteration: 5
12/11/2014 12:13:11 AM DEBUG: Data size: 39832
12/11/2014 12:13:11 AM DEBUG: Data finishing 0.00% ...
12/11/2014 12:13:19 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_4.db 
12/11/2014 12:13:19 AM DEBUG: Total Feature Num: 10248242 
12/11/2014 12:16:03 AM DEBUG: Data finishing 2.51% ...
12/11/2014 12:18:46 AM DEBUG: Data finishing 5.02% ...
12/11/2014 12:21:28 AM DEBUG: Data finishing 7.53% ...
12/11/2014 12:23:58 AM DEBUG: Data finishing 10.04% ...
12/11/2014 12:26:31 AM DEBUG: Data finishing 12.55% ...
12/11/2014 12:29:29 AM DEBUG: Data finishing 15.06% ...
12/11/2014 12:32:07 AM DEBUG: Data finishing 17.57% ...
12/11/2014 12:34:52 AM DEBUG: Data finishing 20.08% ...
12/11/2014 12:37:40 AM DEBUG: Data finishing 22.59% ...
12/11/2014 12:40:17 AM DEBUG: Data finishing 25.11% ...
12/11/2014 12:42:53 AM DEBUG: Data finishing 27.62% ...
12/11/2014 12:45:22 AM DEBUG: Data finishing 30.13% ...
12/11/2014 12:48:11 AM DEBUG: Data finishing 32.64% ...
12/11/2014 12:50:50 AM DEBUG: Data finishing 35.15% ...
12/11/2014 12:53:30 AM DEBUG: Data finishing 37.66% ...
12/11/2014 12:56:09 AM DEBUG: Data finishing 40.17% ...
12/11/2014 12:58:45 AM DEBUG: Data finishing 42.68% ...
12/11/2014 01:01:10 AM DEBUG: Data finishing 45.19% ...
12/11/2014 01:03:50 AM DEBUG: Data finishing 47.70% ...
12/11/2014 01:06:15 AM DEBUG: Data finishing 50.21% ...
12/11/2014 01:08:41 AM DEBUG: Data finishing 52.72% ...
12/11/2014 01:11:11 AM DEBUG: Data finishing 55.23% ...
12/11/2014 01:13:44 AM DEBUG: Data finishing 57.74% ...
12/11/2014 01:16:34 AM DEBUG: Data finishing 60.25% ...
12/11/2014 01:19:06 AM DEBUG: Data finishing 62.76% ...
12/11/2014 01:21:43 AM DEBUG: Data finishing 65.27% ...
12/11/2014 01:24:13 AM DEBUG: Data finishing 67.78% ...
12/11/2014 01:26:56 AM DEBUG: Data finishing 70.30% ...
12/11/2014 01:29:46 AM DEBUG: Data finishing 72.81% ...
12/11/2014 01:32:16 AM DEBUG: Data finishing 75.32% ...
12/11/2014 01:34:38 AM DEBUG: Data finishing 77.83% ...
12/11/2014 01:37:15 AM DEBUG: Data finishing 80.34% ...
12/11/2014 01:39:55 AM DEBUG: Data finishing 82.85% ...
12/11/2014 01:42:30 AM DEBUG: Data finishing 85.36% ...
12/11/2014 01:45:21 AM DEBUG: Data finishing 87.87% ...
12/11/2014 01:47:49 AM DEBUG: Data finishing 90.38% ...
12/11/2014 01:50:18 AM DEBUG: Data finishing 92.89% ...
12/11/2014 01:52:54 AM DEBUG: Data finishing 95.40% ...
12/11/2014 01:55:28 AM DEBUG: Data finishing 97.91% ...
12/11/2014 01:58:03 AM DEBUG: Iteration: 6
12/11/2014 01:58:03 AM DEBUG: Data size: 39832
12/11/2014 01:58:03 AM DEBUG: Data finishing 0.00% ...
12/11/2014 01:58:11 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_5.db 
12/11/2014 01:58:11 AM DEBUG: Total Feature Num: 10302575 
12/11/2014 02:00:54 AM DEBUG: Data finishing 2.51% ...
12/11/2014 02:03:37 AM DEBUG: Data finishing 5.02% ...
12/11/2014 02:06:18 AM DEBUG: Data finishing 7.53% ...
12/11/2014 02:08:48 AM DEBUG: Data finishing 10.04% ...
12/11/2014 02:11:21 AM DEBUG: Data finishing 12.55% ...
12/11/2014 02:14:18 AM DEBUG: Data finishing 15.06% ...
12/11/2014 02:16:56 AM DEBUG: Data finishing 17.57% ...
12/11/2014 02:19:41 AM DEBUG: Data finishing 20.08% ...
12/11/2014 02:22:29 AM DEBUG: Data finishing 22.59% ...
12/11/2014 02:25:05 AM DEBUG: Data finishing 25.11% ...
12/11/2014 02:27:45 AM DEBUG: Data finishing 27.62% ...
12/11/2014 02:30:15 AM DEBUG: Data finishing 30.13% ...
12/11/2014 02:33:05 AM DEBUG: Data finishing 32.64% ...
12/11/2014 02:35:44 AM DEBUG: Data finishing 35.15% ...
12/11/2014 02:38:24 AM DEBUG: Data finishing 37.66% ...
12/11/2014 02:41:04 AM DEBUG: Data finishing 40.17% ...
12/11/2014 02:43:41 AM DEBUG: Data finishing 42.68% ...
12/11/2014 02:46:07 AM DEBUG: Data finishing 45.19% ...
12/11/2014 02:48:48 AM DEBUG: Data finishing 47.70% ...
12/11/2014 02:51:13 AM DEBUG: Data finishing 50.21% ...
12/11/2014 02:53:40 AM DEBUG: Data finishing 52.72% ...
12/11/2014 02:56:11 AM DEBUG: Data finishing 55.23% ...
12/11/2014 02:58:45 AM DEBUG: Data finishing 57.74% ...
12/11/2014 03:01:35 AM DEBUG: Data finishing 60.25% ...
12/11/2014 03:04:07 AM DEBUG: Data finishing 62.76% ...
12/11/2014 03:06:45 AM DEBUG: Data finishing 65.27% ...
12/11/2014 03:09:16 AM DEBUG: Data finishing 67.78% ...
12/11/2014 03:12:00 AM DEBUG: Data finishing 70.30% ...
12/11/2014 03:14:51 AM DEBUG: Data finishing 72.81% ...
12/11/2014 03:17:23 AM DEBUG: Data finishing 75.32% ...
12/11/2014 03:19:45 AM DEBUG: Data finishing 77.83% ...
12/11/2014 03:22:22 AM DEBUG: Data finishing 80.34% ...
12/11/2014 03:25:03 AM DEBUG: Data finishing 82.85% ...
12/11/2014 03:27:39 AM DEBUG: Data finishing 85.36% ...
12/11/2014 03:30:31 AM DEBUG: Data finishing 87.87% ...
12/11/2014 03:33:00 AM DEBUG: Data finishing 90.38% ...
12/11/2014 03:35:30 AM DEBUG: Data finishing 92.89% ...
12/11/2014 03:38:07 AM DEBUG: Data finishing 95.40% ...
12/11/2014 03:40:42 AM DEBUG: Data finishing 97.91% ...
12/11/2014 03:43:18 AM DEBUG: Iteration: 7
12/11/2014 03:43:18 AM DEBUG: Data size: 39832
12/11/2014 03:43:18 AM DEBUG: Data finishing 0.00% ...
12/11/2014 03:43:26 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_6.db 
12/11/2014 03:43:26 AM DEBUG: Total Feature Num: 10342271 
12/11/2014 03:46:12 AM DEBUG: Data finishing 2.51% ...
12/11/2014 03:48:55 AM DEBUG: Data finishing 5.02% ...
12/11/2014 03:51:38 AM DEBUG: Data finishing 7.53% ...
12/11/2014 03:54:10 AM DEBUG: Data finishing 10.04% ...
12/11/2014 03:56:43 AM DEBUG: Data finishing 12.55% ...
12/11/2014 03:59:42 AM DEBUG: Data finishing 15.06% ...
12/11/2014 04:02:21 AM DEBUG: Data finishing 17.57% ...
12/11/2014 04:05:07 AM DEBUG: Data finishing 20.08% ...
12/11/2014 04:07:57 AM DEBUG: Data finishing 22.59% ...
12/11/2014 04:10:35 AM DEBUG: Data finishing 25.11% ...
12/11/2014 04:13:11 AM DEBUG: Data finishing 27.62% ...
12/11/2014 04:15:40 AM DEBUG: Data finishing 30.13% ...
12/11/2014 04:18:30 AM DEBUG: Data finishing 32.64% ...
12/11/2014 04:21:09 AM DEBUG: Data finishing 35.15% ...
12/11/2014 04:23:49 AM DEBUG: Data finishing 37.66% ...
12/11/2014 04:26:28 AM DEBUG: Data finishing 40.17% ...
12/11/2014 04:29:05 AM DEBUG: Data finishing 42.68% ...
12/11/2014 04:31:31 AM DEBUG: Data finishing 45.19% ...
12/11/2014 04:34:12 AM DEBUG: Data finishing 47.70% ...
12/11/2014 04:36:37 AM DEBUG: Data finishing 50.21% ...
12/11/2014 04:39:04 AM DEBUG: Data finishing 52.72% ...
12/11/2014 04:41:35 AM DEBUG: Data finishing 55.23% ...
12/11/2014 04:44:08 AM DEBUG: Data finishing 57.74% ...
12/11/2014 04:46:59 AM DEBUG: Data finishing 60.25% ...
12/11/2014 04:49:31 AM DEBUG: Data finishing 62.76% ...
12/11/2014 04:52:09 AM DEBUG: Data finishing 65.27% ...
12/11/2014 04:54:40 AM DEBUG: Data finishing 67.78% ...
12/11/2014 04:57:24 AM DEBUG: Data finishing 70.30% ...
12/11/2014 05:00:14 AM DEBUG: Data finishing 72.81% ...
12/11/2014 05:02:45 AM DEBUG: Data finishing 75.32% ...
12/11/2014 05:05:07 AM DEBUG: Data finishing 77.83% ...
12/11/2014 05:07:44 AM DEBUG: Data finishing 80.34% ...
12/11/2014 05:10:25 AM DEBUG: Data finishing 82.85% ...
12/11/2014 05:13:00 AM DEBUG: Data finishing 85.36% ...
12/11/2014 05:15:51 AM DEBUG: Data finishing 87.87% ...
12/11/2014 05:18:19 AM DEBUG: Data finishing 90.38% ...
12/11/2014 05:20:49 AM DEBUG: Data finishing 92.89% ...
12/11/2014 05:23:26 AM DEBUG: Data finishing 95.40% ...
12/11/2014 05:26:01 AM DEBUG: Data finishing 97.91% ...
12/11/2014 05:28:37 AM DEBUG: Iteration: 8
12/11/2014 05:28:37 AM DEBUG: Data size: 39832
12/11/2014 05:28:37 AM DEBUG: Data finishing 0.00% ...
12/11/2014 05:28:45 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_7.db 
12/11/2014 05:28:45 AM DEBUG: Total Feature Num: 10373455 
12/11/2014 05:31:29 AM DEBUG: Data finishing 2.51% ...
12/11/2014 05:34:11 AM DEBUG: Data finishing 5.02% ...
12/11/2014 05:36:53 AM DEBUG: Data finishing 7.53% ...
12/11/2014 05:39:23 AM DEBUG: Data finishing 10.04% ...
12/11/2014 05:41:56 AM DEBUG: Data finishing 12.55% ...
12/11/2014 05:44:54 AM DEBUG: Data finishing 15.06% ...
12/11/2014 05:47:32 AM DEBUG: Data finishing 17.57% ...
