'(32, 39, [25], 2)' 2
'(14, 13, [15], 2)' 1
'(1, 18, [35], 1)' 1
'(36, 39, [43], 1)' 1
'(43, 26, [6], 2)' 2
'(8, 31, [36], 1)' 1
'(16, 20, [13], 1)' 1
'(16, 27, [8], 2)' 2
'(30, 16, [35], 2)' 2
'(2, 12, [28], 1)' 1
'(28, 27, [36], 2)' 1
'(25, 37, [4], 1)' 1
'(10, 11, [17], 1)' 1
'(8, 7, [3], 2)' 1
'(12, 27, [32], 1)' 1
'(31, 25, [7], 2)' 2
'(22, 32, [13], 1)' 1
'(0, 17, [28], 1)' 1
'(19, 0, [36], 2)' 2
'(19, 29, [7], 1)' 1
'(6, 13, [20], 2)' 2
'(25, 7, [26], 2)' 2
'(2, 7, [42], 2)' 2
'(23, 25, [32], 1)' 1
'(16, 22, [11], 2)' 2
'(25, 26, [38], 1)' 1
'(28, 36, [20], 1)' 1
'(18, 28, [43], 1)' 1
'(36, 37, [19], 2)' 1
'(0, 18, [37], 2)' 2
'(31, 30, [33], 2)' 1
'(6, 1, [18], 2)' 2
'(1, 5, [25], 2)' 2
'(19, 23, [14], 2)' 2
'(9, 21, [8], 1)' 1
'(10, 20, [29], 2)' 2
'(13, 11, [34], 2)' 2
'(11, 12, [21], 1)' 1
'(9, 10, [28], 2)' 1
'(41, 24, [21], 2)' 2
'(3, 5, [36], 2)' 2
'(12, 17, [31], 2)' 2
'(8, 18, [0], 2)' 2
'(18, 36, [17], 1)' 1
'(31, 5, [33], 2)' 2
'(30, 22, [0], 2)' 2
'(25, 27, [28], 1)' 1
'(19, 20, [24], 1)' 1
'(25, 32, [1], 2)' 2
'(29, 39, [0], 2)' 2
'(14, 23, [13], 1)' 1
'(35, 29, [15], 2)' 2
'(10, 3, [25], 2)' 2
'(8, 26, [1], 2)' 2
'(34, 15, [35], 2)' 2
'(36, 20, [18], 2)' 2
'(14, 13, [19], 2)' 1
'(18, 17, [3], 2)' 1
'(40, 37, [3], 2)' 2
'(13, 38, [41], 1)' 1
'(21, 43, [16], 2)' 2
'(35, 30, [17], 2)' 2
'(23, 2, [42], 2)' 2
'(15, 18, [40], 1)' 1
'(9, 36, [8], 1)' 1
'(15, 18, [6], 2)' 2
'(15, 8, [17], 2)' 2
'(0, 14, [30], 1)' 1
'(21, 19, [35], 2)' 2
'(7, 11, [34], 1)' 1
'(25, 6, [37], 2)' 2
'(27, 16, [43], 2)' 2
'(4, 33, [35], 1)' 1
'(9, 43, [8], 1)' 1
'(4, 3, [40], 2)' 1
'(15, 17, [39], 2)' 2
'(22, 4, [29], 2)' 2
'(28, 20, [4], 2)' 2
'(8, 6, [22], 2)' 2
'(10, 0, [11], 2)' 2
'(30, 14, [35], 2)' 2
'(32, 1, [34], 2)' 2
'(13, 20, [24], 1)' 1
'(32, 12, [9], 2)' 2
'(31, 30, [37], 2)' 1
'(11, 37, [0], 2)' 2
'(37, 6, [2], 2)' 2
'(16, 25, [31], 2)' 2
'(9, 22, [8], 1)' 1
'(17, 22, [31], 1)' 1
'(19, 26, [35], 1)' 1
'(11, 23, [6], 2)' 2
'(26, 3, [39], 2)' 2
'(36, 12, [5], 2)' 2
'(8, 11, [42], 1)' 1
'(8, 33, [2], 1)' 1
'(7, 37, [38], 2)' 2
'(23, 29, [38], 1)' 1
'(28, 22, [38], 2)' 2
'(35, 12, [38], 2)' 2
'(10, 17, [34], 2)' 2
'(10, 18, [0], 2)' 2
'(29, 8, [39], 2)' 2
'(11, 23, [36], 1)' 1
'(29, 17, [10], 2)' 2
'(36, 4, [0], 2)' 2
'(36, 39, [30], 1)' 1
'(22, 10, [8], 2)' 2
'(27, 43, [9], 1)' 1
'(11, 32, [8], 2)' 2
'(21, 25, [16], 1)' 1
'(15, 26, [43], 2)' 2
'(14, 7, [20], 2)' 2
'(3, 15, [20], 2)' 2
'(0, 15, [24], 1)' 1
'(30, 39, [14], 1)' 1
'(29, 34, [2], 1)' 1
'(36, 40, [28], 1)' 1
'(1, 4, [37], 1)' 1
'(42, 43, [19], 2)' 1
'(10, 1, [43], 2)' 2
'(3, 17, [31], 1)' 1
'(8, 25, [30], 2)' 2
'(13, 0, [23], 2)' 2
'(14, 31, [7], 2)' 2
'(34, 22, [39], 2)' 2
'(23, 30, [0], 1)' 1
'(2, 8, [31], 1)' 1
'(9, 20, [26], 1)' 1
'(26, 40, [9], 2)' 2
'(27, 39, [41], 2)' 2
'(19, 38, [18], 2)' 2
'(26, 17, [40], 2)' 2
'(14, 31, [1], 1)' 1
'(19, 13, [12], 2)' 2
'(9, 17, [7], 1)' 1
'(23, 32, [3], 2)' 2
'(10, 24, [3], 2)' 2
'(43, 30, [13], 2)' 2
'(23, 24, [1], 1)' 1
'(5, 16, [32], 1)' 1
'(10, 0, [20], 2)' 2
'(9, 18, [2], 2)' 2
'(14, 16, [36], 2)' 2
'(15, 17, [34], 2)' 2
'(21, 6, [32], 2)' 2
'(10, 38, [42], 1)' 1
'(27, 13, [34], 2)' 2
'(43, 32, [12], 2)' 2
'(36, 22, [37], 2)' 2
'(21, 36, [37], 1)' 1
'(31, 25, [24], 2)' 2
'(29, 24, [30], 2)' 2
'(37, 41, [1], 1)' 1
'(8, 9, [19], 2)' 1
'(14, 35, [0], 1)' 1
'(20, 8, [40], 2)' 2
'(28, 31, [9], 1)' 1
'(36, 29, [14], 2)' 2
'(4, 38, [0], 2)' 2
'(31, 38, [23], 1)' 1
'(27, 37, [19], 2)' 2
'(43, 28, [26], 2)' 2
'(12, 18, [21], 2)' 2
'(6, 36, [38], 1)' 1
'(4, 39, [0], 1)' 1
'(10, 22, [32], 2)' 2
'(41, 10, [4], 2)' 2
'(39, 33, [10], 2)' 2
'(6, 36, [0], 2)' 2
'(15, 31, [35], 2)' 2
'(28, 43, [11], 1)' 1
'(20, 15, [30], 2)' 2
'(41, 9, [6], 2)' 2
'(23, 29, [1], 1)' 1
'(23, 28, [1], 1)' 1
'(41, 30, [1], 2)' 2
'(18, 19, [25], 2)' 1
'(12, 20, [3], 2)' 2
'(16, 2, [33], 2)' 2
'(24, 40, [0], 1)' 1
'(18, 8, [21], 2)' 2
'(22, 35, [0], 1)' 1
'(34, 36, [11], 2)' 2
'(35, 36, [20], 2)' 1
'(25, 35, [40], 2)' 2
'(35, 33, [3], 2)' 2
'(5, 37, [42], 1)' 1
'(31, 12, [42], 2)' 2
'(34, 9, [40], 2)' 2
'(20, 29, [7], 2)' 2
'(11, 17, [36], 1)' 1
'(22, 39, [4], 2)' 2
'(11, 2, [0], 2)' 2
'(5, 0, [7], 2)' 2
'(26, 42, [43], 1)' 1
'(39, 36, [7], 2)' 2
'(37, 43, [0], 2)' 2
'(9, 31, [5], 2)' 2
'(26, 27, [39], 2)' 1
'(18, 27, [14], 1)' 1
'(40, 34, [19], 2)' 2
'(16, 32, [33], 2)' 2
'(6, 28, [37], 2)' 2
'(23, 38, [0], 1)' 1
'(30, 36, [16], 2)' 2
'(2, 25, [39], 1)' 1
'(1, 12, [16], 1)' 1
'(20, 21, [25], 2)' 1
'(25, 40, [4], 2)' 2
'(23, 15, [35], 2)' 2
'(19, 11, [35], 2)' 2
'(10, 41, [8], 2)' 2
'(33, 36, [27], 2)' 2
'(8, 23, [26], 1)' 1
'(35, 30, [0], 2)' 2
'(24, 36, [15], 1)' 1
'(0, 12, [28], 1)' 1
'(10, 20, [40], 1)' 1
'(18, 20, [11], 2)' 2
'(2, 6, [33], 1)' 1
'(33, 3, [32], 3)' 1
'(22, 38, [2], 1)' 1
'(7, 20, [6], 1)' 1
'(1, 15, [42], 1)' 1
'(27, 28, [14], 1)' 1
'(20, 25, [31], 2)' 2
'(38, 5, [42], 2)' 2
'(40, 43, [0], 1)' 1
'(22, 17, [29], 2)' 2
'(16, 11, [17], 2)' 2
'(31, 43, [29], 1)' 1
'(39, 34, [8], 2)' 2
'(28, 22, [43], 2)' 2
'(5, 2, [8], 2)' 2
'(19, 38, [14], 1)' 1
'(32, 21, [1], 2)' 2
'(25, 34, [3], 1)' 1
'(26, 22, [38], 2)' 2
'(24, 37, [15], 1)' 1
'(38, 27, [5], 2)' 2
'(19, 25, [1], 2)' 2
'(2, 13, [41], 2)' 2
'(9, 0, [17], 2)' 2
'(16, 3, [1], 2)' 2
'(21, 34, [3], 2)' 2
'(22, 32, [6], 1)' 1
'(14, 29, [38], 1)' 1
'(5, 17, [4], 2)' 2
'(2, 40, [43], 2)' 2
'(30, 16, [36], 2)' 2
'(14, 22, [42], 1)' 1
'(9, 20, [8], 2)' 2
'(4, 19, [32], 1)' 1
'(11, 27, [30], 1)' 1
'(32, 4, [34], 2)' 2
'(18, 35, [40], 2)' 2
'(9, 12, [25], 2)' 2
'(11, 19, [5], 2)' 2
'(33, 5, [3], 2)' 2
'(1, 37, [43], 2)' 2
'(19, 22, [35], 1)' 1
'(16, 26, [32], 1)' 1
'(7, 33, [5], 2)' 2
'(21, 10, [37], 2)' 2
'(29, 26, [13], 2)' 2
'(27, 22, [0], 2)' 2
'(32, 33, [34], 2)' 1
'(39, 35, [41], 2)' 2
'(28, 30, [1], 1)' 1
'(32, 1, [37], 2)' 2
'(5, 25, [4], 2)' 2
'(5, 3, [41], 2)' 2
'(11, 15, [39], 1)' 1
'(25, 41, [9], 1)' 1
'(34, 41, [43], 1)' 1
'(42, 25, [3], 2)' 2
'(20, 29, [3], 1)' 1
'(20, 3, [40], 2)' 2
'(18, 19, [5], 1)' 1
'(22, 36, [43], 1)' 1
'(33, 17, [9], 2)' 2
'(42, 29, [10], 2)' 2
'(3, 27, [35], 2)' 2
'(20, 12, [31], 2)' 2
'(13, 38, [40], 1)' 1
'(20, 16, [10], 2)' 2
'(26, 31, [34], 2)' 2
'(25, 37, [12], 1)' 1
'(30, 40, [24], 2)' 2
'(13, 16, [32], 2)' 2
'(11, 9, [27], 2)' 2
'(6, 9, [21], 2)' 2
'(15, 23, [32], 2)' 2
'(29, 20, [17], 2)' 2
'(22, 34, [35], 2)' 2
'(19, 11, [4], 2)' 2
'(30, 13, [37], 2)' 2
'(7, 31, [35], 1)' 1
'(29, 41, [2], 2)' 2
'(17, 10, [14], 3)' 1
'(38, 39, [11], 2)' 1
'(41, 37, [34], 2)' 2
'(22, 29, [1], 2)' 2
'(2, 5, [16], 2)' 2
'(11, 1, [31], 2)' 2
'(33, 36, [31], 2)' 2
'(34, 40, [18], 2)' 2
'(31, 6, [32], 2)' 2
'(20, 33, [13], 2)' 2
'(34, 31, [13], 2)' 2
'(41, 30, [8], 2)' 2
'(8, 28, [4], 2)' 2
'(33, 16, [39], 2)' 2
'(30, 25, [38], 2)' 2
'(36, 35, [10], 2)' 1
'(42, 37, [30], 2)' 2
'(22, 38, [17], 2)' 2
'(2, 16, [17], 1)' 1
'(25, 0, [31], 2)' 2
'(16, 18, [3], 1)' 1
'(6, 4, [30], 2)' 2
'(32, 17, [37], 2)' 2
'(34, 14, [9], 2)' 2
'(35, 7, [4], 2)' 2
'(19, 32, [5], 2)' 2
'(3, 7, [25], 1)' 1
'(14, 39, [11], 2)' 2
'(23, 33, [35], 1)' 1
'(2, 3, [7], 2)' 1
'(2, 16, [34], 1)' 1
'(14, 18, [34], 2)' 2
'(27, 36, [5], 2)' 2
'(5, 24, [27], 1)' 1
'(7, 26, [0], 2)' 2
'(8, 1, [17], 2)' 2
'(13, 10, [9], 2)' 2
'(12, 31, [36], 1)' 1
'(29, 37, [28], 2)' 2
'(39, 28, [18], 2)' 2
'(8, 33, [36], 1)' 1
'(33, 15, [43], 2)' 2
'(13, 12, [15], 2)' 1
'(6, 37, [4], 2)' 2
'(2, 25, [40], 1)' 1
'(26, 40, [14], 1)' 1
'(9, 25, [30], 1)' 1
'(28, 34, [17], 1)' 1
'(0, 15, [28], 1)' 1
'(34, 35, [38], 2)' 1
'(4, 25, [2], 2)' 2
'(23, 22, [8], 2)' 1
'(18, 29, [3], 1)' 1
'(21, 28, [38], 2)' 2
'(19, 21, [33], 2)' 2
'(34, 23, [43], 2)' 2
'(33, 42, [15], 2)' 2
'(27, 22, [19], 2)' 2
'(38, 25, [12], 2)' 2
'(9, 37, [2], 1)' 1
'(27, 36, [25], 2)' 2
'(20, 23, [42], 1)' 1
'(22, 16, [27], 2)' 2
'(37, 42, [17], 2)' 2
'(13, 25, [36], 2)' 2
'(31, 33, [23], 2)' 2
'(21, 30, [14], 1)' 1
'(36, 41, [2], 2)' 2
'(24, 39, [41], 1)' 1
'(7, 17, [4], 2)' 2
'(12, 30, [37], 1)' 1
'(18, 4, [1], 2)' 2
'(9, 7, [18], 2)' 2
'(21, 41, [20], 2)' 2
'(24, 0, [27], 2)' 2
'(14, 30, [8], 1)' 1
'(32, 11, [33], 2)' 2
'(1, 7, [10], 1)' 1
'(41, 43, [40], 1)' 1
'(27, 19, [12], 2)' 2
'(22, 29, [10], 1)' 1
'(5, 25, [3], 1)' 1
'(0, 24, [26], 1)' 1
'(39, 37, [16], 2)' 2
'(9, 17, [27], 1)' 1
'(33, 37, [17], 2)' 2
'(11, 5, [28], 2)' 2
'(12, 39, [42], 1)' 1
'(30, 20, [43], 2)' 2
'(6, 25, [0], 2)' 2
'(12, 13, [21], 1)' 1
'(5, 1, [16], 2)' 2
'(8, 27, [40], 2)' 2
'(36, 25, [2], 2)' 2
'(37, 33, [24], 2)' 2
'(21, 30, [10], 1)' 1
'(17, 18, [1], 1)' 1
'(22, 38, [13], 1)' 1
'(35, 42, [8], 1)' 1
'(37, 4, [43], 2)' 2
'(5, 18, [34], 2)' 2
'(16, 30, [40], 1)' 1
'(8, 21, [30], 1)' 1
'(16, 39, [41], 1)' 1
'(10, 22, [9], 1)' 1
'(20, 41, [43], 1)' 1
'(3, 29, [35], 2)' 2
'(25, 33, [18], 1)' 1
'(10, 29, [37], 2)' 2
'(9, 7, [14], 2)' 2
'(18, 20, [4], 2)' 2
'(24, 16, [32], 2)' 2
'(21, 11, [40], 2)' 2
'(0, 24, [40], 2)' 2
'(29, 35, [36], 1)' 1
'(10, 11, [23], 2)' 1
'(15, 38, [0], 1)' 1
'(34, 21, [9], 2)' 2
'(15, 26, [37], 1)' 1
'(18, 36, [17], 2)' 2
'(6, 29, [2], 2)' 2
'(17, 8, [38], 2)' 2
'(2, 36, [1], 2)' 2
'(25, 28, [5], 2)' 2
'(24, 20, [18], 2)' 2
'(12, 7, [36], 2)' 2
'(11, 22, [26], 2)' 2
'(24, 35, [9], 1)' 1
'(33, 9, [37], 2)' 2
'(30, 0, [33], 2)' 2
'(14, 8, [29], 2)' 2
'(11, 39, [10], 1)' 1
'(6, 8, [25], 2)' 2
'(18, 7, [27], 2)' 2
'(11, 18, [39], 2)' 2
'(26, 36, [12], 1)' 1
'(15, 29, [36], 2)' 2
'(35, 40, [6], 2)' 2
'(10, 16, [35], 1)' 1
'(15, 36, [37], 2)' 2
'(12, 31, [37], 2)' 2
'(26, 32, [43], 2)' 2
'(4, 38, [1], 2)' 2
'(21, 7, [27], 2)' 2
'(2, 13, [34], 2)' 2
'(34, 7, [3], 2)' 2
'(2, 14, [25], 1)' 1
'(43, 33, [31], 2)' 2
'(19, 11, [36], 2)' 2
'(5, 19, [29], 1)' 1
'(14, 19, [32], 2)' 2
'(24, 31, [16], 2)' 2
'(25, 21, [2], 2)' 2
'(26, 36, [4], 1)' 1
'(12, 25, [31], 2)' 2
'(17, 42, [3], 1)' 1
'(22, 16, [31], 2)' 2
'(4, 13, [42], 2)' 2
'(16, 29, [8], 2)' 2
'(28, 42, [0], 1)' 1
'(0, 2, [27], 2)' 2
'(9, 8, [2], 2)' 1
'(19, 4, [3], 2)' 2
'(19, 16, [23], 2)' 2
'(16, 8, [4], 2)' 2
'(3, 26, [31], 2)' 2
'(36, 32, [25], 2)' 2
'(28, 38, [39], 2)' 2
'(36, 27, [20], 2)' 2
'(11, 22, [4], 2)' 2
'(0, 35, [43], 2)' 2
'(1, 3, [10], 1)' 1
'(30, 7, [32], 2)' 2
'(3, 9, [31], 2)' 2
'(4, 11, [2], 2)' 2
'(33, 8, [6], 2)' 2
'(25, 26, [1], 2)' 1
'(26, 40, [0], 2)' 2
'(24, 26, [11], 1)' 1
'(26, 13, [34], 2)' 2
'(14, 32, [13], 2)' 2
'(2, 15, [1], 1)' 1
'(27, 5, [35], 2)' 2
'(8, 16, [6], 1)' 1
'(2, 21, [22], 1)' 1
'(35, 38, [28], 2)' 2
'(8, 33, [1], 2)' 2
'(11, 43, [1], 2)' 2
'(28, 16, [14], 4)' 1
'(0, 2, [4], 4)' 1
'(42, 40, [43], 2)' 2
'(25, 39, [1], 2)' 2
'(5, 8, [26], 2)' 2
'(18, 14, [19], 2)' 2
'(32, 36, [40], 1)' 1
'(23, 7, [6], 2)' 2
'(8, 4, [41], 2)' 2
'(4, 7, [19], 1)' 1
'(2, 9, [41], 2)' 2
'(0, 36, [42], 1)' 1
'(24, 41, [43], 2)' 2
'(41, 35, [9], 2)' 2
'(9, 3, [42], 2)' 2
'(23, 6, [39], 2)' 2
'(2, 9, [42], 2)' 2
'(7, 35, [2], 2)' 2
'(1, 26, [38], 1)' 1
'(8, 18, [37], 2)' 2
'(27, 21, [0], 2)' 2
'(15, 34, [40], 2)' 2
'(0, 7, [24], 1)' 1
'(11, 32, [4], 2)' 2
'(17, 26, [36], 1)' 1
'(31, 3, [35], 2)' 2
'(26, 37, [22], 2)' 2
'(35, 29, [2], 2)' 2
'(37, 40, [15], 1)' 1
'(2, 17, [35], 1)' 1
'(1, 35, [0], 2)' 2
'(6, 39, [2], 1)' 1
'(10, 0, [21], 2)' 2
'(30, 39, [15], 1)' 1
'(24, 30, [6], 2)' 2
'(40, 4, [43], 2)' 2
'(32, 15, [7], 2)' 2
'(24, 40, [43], 1)' 1
'(1, 10, [21], 2)' 2
'(32, 40, [23], 2)' 2
'(0, 10, [22], 1)' 1
'(18, 7, [35], 2)' 2
'(29, 30, [20], 2)' 1
'(24, 37, [40], 1)' 1
'(25, 31, [23], 2)' 2
'(31, 34, [1], 1)' 1
'(23, 15, [7], 2)' 2
'(15, 27, [1], 1)' 1
'(21, 13, [28], 2)' 2
'(36, 42, [2], 2)' 2
'(28, 36, [5], 2)' 2
'(11, 16, [31], 1)' 1
'(41, 36, [14], 2)' 2
'(43, 34, [12], 2)' 2
'(35, 41, [30], 2)' 2
'(7, 41, [5], 1)' 1
'(16, 15, [41], 2)' 1
'(12, 27, [41], 2)' 2
'(4, 32, [2], 1)' 1
'(9, 25, [33], 1)' 1
'(14, 3, [37], 2)' 2
'(2, 3, [4], 2)' 1
'(29, 23, [14], 2)' 2
'(17, 28, [4], 2)' 2
'(35, 20, [17], 2)' 2
'(6, 10, [4], 2)' 2
'(22, 39, [18], 2)' 2
'(4, 30, [37], 2)' 2
'(35, 25, [40], 2)' 2
'(7, 23, [4], 1)' 1
'(11, 10, [12], 2)' 1
'(3, 23, [0], 1)' 1
'(33, 34, [9], 2)' 1
'(1, 11, [40], 2)' 2
'(15, 14, [28], 2)' 1
'(34, 40, [16], 2)' 2
'(33, 34, [40], 2)' 1
'(17, 18, [5], 2)' 1
'(15, 16, [3], 1)' 1
'(14, 21, [27], 2)' 2
'(16, 24, [41], 1)' 1
'(43, 4, [3], 2)' 2
'(11, 1, [35], 2)' 2
'(24, 28, [5], 2)' 2
'(27, 28, [12], 1)' 1
'(2, 8, [16], 1)' 1
'(29, 1, [38], 2)' 2
'(13, 9, [29], 2)' 2
'(6, 12, [2], 1)' 1
'(41, 38, [6], 2)' 2
'(2, 1, [0], 2)' 1
'(13, 10, [37], 2)' 2
'(19, 34, [9], 1)' 1
'(39, 25, [5], 2)' 2
'(18, 37, [42], 2)' 2
'(21, 42, [15], 1)' 1
'(5, 9, [24], 2)' 2
'(14, 32, [5], 2)' 2
'(36, 23, [41], 2)' 2
'(2, 7, [26], 1)' 1
'(34, 32, [36], 2)' 2
'(3, 9, [11], 2)' 2
'(26, 33, [25], 1)' 1
'(23, 7, [1], 2)' 2
'(16, 19, [27], 2)' 2
'(16, 33, [37], 2)' 2
'(28, 21, [41], 2)' 2
'(33, 17, [13], 2)' 2
'(2, 22, [23], 1)' 1
'(36, 37, [28], 1)' 1
'(15, 36, [5], 2)' 2
'(1, 13, [16], 2)' 2
'(29, 19, [38], 2)' 2
'(18, 0, [34], 2)' 2
'(30, 36, [15], 1)' 1
'(11, 24, [5], 2)' 2
'(26, 30, [18], 2)' 2
'(11, 25, [1], 2)' 2
'(24, 29, [41], 2)' 2
'(21, 17, [15], 2)' 2
'(28, 33, [39], 1)' 1
'(12, 14, [22], 1)' 1
'(11, 12, [1], 1)' 1
'(16, 0, [31], 2)' 2
'(16, 28, [3], 1)' 1
'(2, 3, [21], 1)' 1
'(18, 9, [24], 2)' 2
'(21, 24, [42], 1)' 1
'(14, 21, [23], 2)' 2
'(27, 25, [42], 2)' 2
'(19, 9, [20], 2)' 2
'(32, 33, [1], 1)' 1
'(18, 3, [31], 2)' 2
'(8, 10, [16], 1)' 1
'(11, 5, [30], 2)' 2
'(27, 38, [11], 1)' 1
'(31, 30, [35], 2)' 1
'(9, 22, [34], 1)' 1
'(29, 30, [42], 1)' 1
'(39, 23, [1], 2)' 2
'(35, 28, [10], 2)' 2
'(21, 39, [43], 1)' 1
'(34, 43, [30], 1)' 1
'(24, 43, [23], 2)' 2
'(19, 41, [43], 1)' 1
'(6, 14, [32], 1)' 1
'(31, 40, [34], 4)' 1
'(28, 41, [22], 1)' 1
'(4, 21, [32], 2)' 2
'(31, 16, [40], 2)' 2
'(41, 31, [26], 2)' 2
'(10, 6, [7], 3)' 1
'(28, 26, [20], 2)' 2
'(0, 19, [24], 2)' 2
'(26, 38, [20], 2)' 2
'(43, 34, [19], 2)' 2
'(34, 37, [9], 2)' 2
'(10, 11, [2], 2)' 1
'(43, 41, [6], 2)' 2
'(19, 31, [13], 1)' 1
'(22, 28, [32], 2)' 2
'(6, 8, [30], 1)' 1
'(17, 37, [13], 1)' 1
'(33, 34, [16], 2)' 1
'(4, 21, [43], 2)' 2
'(33, 37, [29], 2)' 2
'(14, 7, [37], 2)' 2
'(28, 22, [5], 2)' 2
'(19, 32, [10], 2)' 2
'(6, 41, [4], 2)' 2
'(19, 43, [17], 1)' 1
'(42, 30, [6], 2)' 2
'(2, 12, [38], 1)' 1
'(4, 5, [14], 1)' 1
'(16, 25, [28], 2)' 2
'(12, 19, [33], 2)' 2
'(6, 17, [35], 1)' 1
'(29, 40, [1], 2)' 2
'(40, 41, [1], 2)' 1
'(0, 4, [11], 1)' 1
'(5, 20, [1], 2)' 2
'(32, 12, [7], 2)' 2
'(31, 30, [39], 2)' 1
'(15, 10, [6], 2)' 2
'(29, 38, [14], 2)' 2
'(2, 1, [43], 2)' 1
'(31, 26, [23], 2)' 2
'(26, 18, [7], 2)' 2
'(10, 19, [35], 1)' 1
'(35, 14, [37], 2)' 2
'(28, 15, [30], 2)' 2
'(42, 21, [4], 2)' 2
'(26, 28, [10], 2)' 2
'(17, 18, [4], 2)' 1
'(3, 25, [41], 1)' 1
'(13, 21, [37], 2)' 2
'(15, 21, [12], 2)' 2
'(22, 19, [32], 2)' 2
'(6, 11, [43], 2)' 2
'(41, 42, [33], 2)' 1
'(34, 38, [8], 1)' 1
'(9, 14, [21], 1)' 1
'(20, 10, [8], 2)' 2
'(29, 36, [7], 1)' 1
'(24, 42, [14], 1)' 1
'(8, 41, [43], 2)' 2
'(26, 37, [7], 1)' 1
'(22, 42, [4], 1)' 1
'(6, 3, [40], 2)' 2
'(21, 26, [1], 2)' 2
'(0, 2, [23], 1)' 1
'(0, 19, [43], 1)' 1
'(27, 21, [5], 2)' 2
'(19, 32, [39], 2)' 2
'(40, 26, [3], 2)' 2
'(35, 36, [40], 2)' 1
'(25, 26, [2], 2)' 1
'(29, 37, [3], 2)' 2
'(22, 29, [41], 2)' 2
'(18, 19, [42], 1)' 1
'(23, 22, [1], 2)' 1
'(14, 4, [22], 2)' 2
'(1, 0, [18], 2)' 1
'(18, 6, [38], 2)' 2
'(35, 38, [30], 1)' 1
'(4, 28, [41], 2)' 2
'(35, 25, [1], 2)' 2
'(13, 12, [4], 2)' 1
'(35, 39, [5], 1)' 1
'(3, 5, [43], 1)' 1
'(15, 0, [22], 2)' 2
'(18, 17, [28], 2)' 1
'(19, 28, [41], 1)' 1
'(28, 13, [43], 2)' 2
'(16, 19, [28], 2)' 2
'(32, 33, [23], 1)' 1
'(22, 14, [40], 2)' 2
'(4, 19, [20], 1)' 1
'(10, 23, [28], 1)' 1
'(42, 38, [22], 2)' 2
'(9, 20, [34], 1)' 1
'(35, 7, [41], 2)' 2
'(42, 23, [17], 2)' 2
'(38, 15, [42], 2)' 2
'(7, 27, [32], 2)' 2
'(22, 19, [36], 2)' 2
'(2, 27, [34], 1)' 1
'(37, 39, [40], 2)' 2
'(4, 10, [37], 2)' 2
'(3, 22, [40], 2)' 2
'(40, 37, [21], 2)' 2
'(5, 0, [10], 2)' 2
'(26, 29, [42], 1)' 1
'(41, 25, [23], 2)' 2
'(20, 25, [11], 2)' 2
'(7, 12, [6], 1)' 1
'(10, 38, [9], 1)' 1
'(16, 5, [31], 2)' 2
'(21, 29, [5], 2)' 2
'(42, 43, [13], 2)' 1
'(19, 5, [2], 2)' 2
'(17, 29, [40], 1)' 1
'(31, 28, [25], 2)' 2
'(40, 8, [42], 2)' 2
'(39, 36, [10], 2)' 2
'(24, 25, [13], 1)' 1
'(10, 18, [43], 2)' 2
'(14, 16, [29], 1)' 1
'(22, 21, [3], 2)' 1
'(14, 28, [31], 1)' 1
'(36, 40, [15], 2)' 2
'(16, 33, [41], 2)' 2
'(28, 35, [13], 1)' 1
