12/12/2014 12:05:26 AM DEBUG: Loading data...
12/12/2014 12:05:26 AM DEBUG: Loading data...
12/12/2014 12:05:26 AM DEBUG: Initialize AveragePerceptronLearner ... 
12/12/2014 12:05:26 AM DEBUG: Loading data...
12/12/2014 12:05:26 AM DEBUG: Loading section 02 
12/12/2014 12:05:36 AM DEBUG: Loading section 03 
12/12/2014 12:05:46 AM DEBUG: Loading section 04 
12/12/2014 12:06:01 AM DEBUG: Loading section 05 
12/12/2014 12:06:14 AM DEBUG: Loading section 06 
12/12/2014 12:06:26 AM DEBUG: Loading section 07 
12/12/2014 12:06:40 AM DEBUG: Loading section 08 
12/12/2014 12:06:42 AM DEBUG: Loading section 09 
12/12/2014 12:06:58 AM DEBUG: Loading section 10 
12/12/2014 12:07:07 AM DEBUG: Loading section 11 
12/12/2014 12:07:24 AM DEBUG: Loading section 12 
12/12/2014 12:07:34 AM DEBUG: Loading section 13 
12/12/2014 12:07:54 AM DEBUG: Loading section 14 
12/12/2014 12:08:04 AM DEBUG: Loading section 15 
12/12/2014 12:08:24 AM DEBUG: Loading section 16 
12/12/2014 12:08:38 AM DEBUG: Loading section 17 
12/12/2014 12:08:47 AM DEBUG: Loading section 18 
12/12/2014 12:09:10 AM DEBUG: Loading section 19 
12/12/2014 12:09:19 AM DEBUG: Loading section 20 
12/12/2014 12:09:29 AM DEBUG: Loading section 21 
12/12/2014 01:49:15 AM DEBUG: Data size: 39832
12/12/2014 01:49:15 AM DEBUG: Data finishing 0.00% ...
12/12/2014 01:49:23 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_0.db 
12/12/2014 01:49:23 AM DEBUG: Total Feature Num: 9534142 
12/12/2014 01:52:00 AM DEBUG: Data finishing 2.51% ...
12/12/2014 01:54:36 AM DEBUG: Data finishing 5.02% ...
12/12/2014 01:57:11 AM DEBUG: Data finishing 7.53% ...
12/12/2014 01:59:36 AM DEBUG: Data finishing 10.04% ...
12/12/2014 02:02:03 AM DEBUG: Data finishing 12.55% ...
12/12/2014 02:04:53 AM DEBUG: Data finishing 15.06% ...
12/12/2014 02:07:25 AM DEBUG: Data finishing 17.57% ...
12/12/2014 02:10:04 AM DEBUG: Data finishing 20.08% ...
12/12/2014 02:12:45 AM DEBUG: Data finishing 22.59% ...
12/12/2014 02:15:16 AM DEBUG: Data finishing 25.11% ...
12/12/2014 02:17:45 AM DEBUG: Data finishing 27.62% ...
12/12/2014 02:20:08 AM DEBUG: Data finishing 30.13% ...
12/12/2014 02:22:51 AM DEBUG: Data finishing 32.64% ...
12/12/2014 02:25:23 AM DEBUG: Data finishing 35.15% ...
12/12/2014 02:27:56 AM DEBUG: Data finishing 37.66% ...
12/12/2014 02:30:29 AM DEBUG: Data finishing 40.17% ...
12/12/2014 02:32:59 AM DEBUG: Data finishing 42.68% ...
12/12/2014 02:35:19 AM DEBUG: Data finishing 45.19% ...
12/12/2014 02:37:53 AM DEBUG: Data finishing 47.70% ...
12/12/2014 02:40:11 AM DEBUG: Data finishing 50.21% ...
12/12/2014 02:42:32 AM DEBUG: Data finishing 52.72% ...
12/12/2014 02:44:56 AM DEBUG: Data finishing 55.23% ...
12/12/2014 02:47:23 AM DEBUG: Data finishing 57.74% ...
12/12/2014 02:50:06 AM DEBUG: Data finishing 60.25% ...
12/12/2014 02:52:32 AM DEBUG: Data finishing 62.76% ...
12/12/2014 02:55:03 AM DEBUG: Data finishing 65.27% ...
12/12/2014 02:57:27 AM DEBUG: Data finishing 67.78% ...
12/12/2014 03:00:05 AM DEBUG: Data finishing 70.30% ...
12/12/2014 03:02:48 AM DEBUG: Data finishing 72.81% ...
12/12/2014 03:05:13 AM DEBUG: Data finishing 75.32% ...
12/12/2014 03:07:29 AM DEBUG: Data finishing 77.83% ...
12/12/2014 03:09:59 AM DEBUG: Data finishing 80.34% ...
12/12/2014 03:12:33 AM DEBUG: Data finishing 82.85% ...
12/12/2014 03:15:02 AM DEBUG: Data finishing 85.36% ...
12/12/2014 03:17:46 AM DEBUG: Data finishing 87.87% ...
12/12/2014 03:20:08 AM DEBUG: Data finishing 90.38% ...
12/12/2014 03:22:32 AM DEBUG: Data finishing 92.89% ...
12/12/2014 03:25:02 AM DEBUG: Data finishing 95.40% ...
12/12/2014 03:27:30 AM DEBUG: Data finishing 97.91% ...
12/12/2014 03:29:59 AM DEBUG: Iteration: 2
12/12/2014 03:29:59 AM DEBUG: Data size: 39832
12/12/2014 03:29:59 AM DEBUG: Data finishing 0.00% ...
12/12/2014 03:30:07 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_1.db 
12/12/2014 03:30:07 AM DEBUG: Total Feature Num: 9886118 
12/12/2014 03:32:44 AM DEBUG: Data finishing 2.51% ...
12/12/2014 03:35:20 AM DEBUG: Data finishing 5.02% ...
12/12/2014 03:37:56 AM DEBUG: Data finishing 7.53% ...
12/12/2014 03:40:20 AM DEBUG: Data finishing 10.04% ...
12/12/2014 03:42:46 AM DEBUG: Data finishing 12.55% ...
12/12/2014 03:45:36 AM DEBUG: Data finishing 15.06% ...
12/12/2014 03:48:07 AM DEBUG: Data finishing 17.57% ...
12/12/2014 03:50:46 AM DEBUG: Data finishing 20.08% ...
12/12/2014 03:53:27 AM DEBUG: Data finishing 22.59% ...
12/12/2014 03:55:58 AM DEBUG: Data finishing 25.11% ...
12/12/2014 03:58:27 AM DEBUG: Data finishing 27.62% ...
12/12/2014 04:00:49 AM DEBUG: Data finishing 30.13% ...
12/12/2014 04:03:31 AM DEBUG: Data finishing 32.64% ...
12/12/2014 04:06:03 AM DEBUG: Data finishing 35.15% ...
12/12/2014 04:08:36 AM DEBUG: Data finishing 37.66% ...
12/12/2014 04:11:08 AM DEBUG: Data finishing 40.17% ...
12/12/2014 04:13:38 AM DEBUG: Data finishing 42.68% ...
12/12/2014 04:15:57 AM DEBUG: Data finishing 45.19% ...
12/12/2014 04:18:30 AM DEBUG: Data finishing 47.70% ...
12/12/2014 04:20:49 AM DEBUG: Data finishing 50.21% ...
12/12/2014 04:23:09 AM DEBUG: Data finishing 52.72% ...
12/12/2014 04:25:33 AM DEBUG: Data finishing 55.23% ...
12/12/2014 04:28:00 AM DEBUG: Data finishing 57.74% ...
12/12/2014 04:30:42 AM DEBUG: Data finishing 60.25% ...
12/12/2014 04:33:08 AM DEBUG: Data finishing 62.76% ...
12/12/2014 04:35:38 AM DEBUG: Data finishing 65.27% ...
12/12/2014 04:38:02 AM DEBUG: Data finishing 67.78% ...
12/12/2014 04:40:39 AM DEBUG: Data finishing 70.30% ...
12/12/2014 04:43:22 AM DEBUG: Data finishing 72.81% ...
12/12/2014 04:45:47 AM DEBUG: Data finishing 75.32% ...
12/12/2014 04:48:03 AM DEBUG: Data finishing 77.83% ...
12/12/2014 04:50:33 AM DEBUG: Data finishing 80.34% ...
12/12/2014 04:53:07 AM DEBUG: Data finishing 82.85% ...
12/12/2014 04:55:36 AM DEBUG: Data finishing 85.36% ...
12/12/2014 04:58:19 AM DEBUG: Data finishing 87.87% ...
12/12/2014 05:00:41 AM DEBUG: Data finishing 90.38% ...
12/12/2014 05:03:05 AM DEBUG: Data finishing 92.89% ...
12/12/2014 05:05:34 AM DEBUG: Data finishing 95.40% ...
12/12/2014 05:08:02 AM DEBUG: Data finishing 97.91% ...
12/12/2014 05:10:31 AM DEBUG: Iteration: 3
12/12/2014 05:10:31 AM DEBUG: Data size: 39832
12/12/2014 05:10:31 AM DEBUG: Data finishing 0.00% ...
12/12/2014 05:10:39 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_2.db 
12/12/2014 05:10:39 AM DEBUG: Total Feature Num: 10066840 
12/12/2014 05:13:16 AM DEBUG: Data finishing 2.51% ...
12/12/2014 05:15:52 AM DEBUG: Data finishing 5.02% ...
12/12/2014 05:18:27 AM DEBUG: Data finishing 7.53% ...
12/12/2014 05:20:51 AM DEBUG: Data finishing 10.04% ...
12/12/2014 05:23:18 AM DEBUG: Data finishing 12.55% ...
12/12/2014 05:26:08 AM DEBUG: Data finishing 15.06% ...
12/12/2014 05:28:39 AM DEBUG: Data finishing 17.57% ...
12/12/2014 05:31:18 AM DEBUG: Data finishing 20.08% ...
12/12/2014 05:33:59 AM DEBUG: Data finishing 22.59% ...
12/12/2014 05:36:29 AM DEBUG: Data finishing 25.11% ...
12/12/2014 05:38:58 AM DEBUG: Data finishing 27.62% ...
12/12/2014 05:41:21 AM DEBUG: Data finishing 30.13% ...
12/12/2014 05:44:03 AM DEBUG: Data finishing 32.64% ...
12/12/2014 05:46:35 AM DEBUG: Data finishing 35.15% ...
12/12/2014 05:49:08 AM DEBUG: Data finishing 37.66% ...
12/12/2014 05:51:40 AM DEBUG: Data finishing 40.17% ...
12/12/2014 05:54:10 AM DEBUG: Data finishing 42.68% ...
12/12/2014 05:56:29 AM DEBUG: Data finishing 45.19% ...
12/12/2014 05:59:02 AM DEBUG: Data finishing 47.70% ...
12/12/2014 06:01:20 AM DEBUG: Data finishing 50.21% ...
12/12/2014 06:03:41 AM DEBUG: Data finishing 52.72% ...
12/12/2014 06:06:05 AM DEBUG: Data finishing 55.23% ...
12/12/2014 06:08:32 AM DEBUG: Data finishing 57.74% ...
12/12/2014 06:11:14 AM DEBUG: Data finishing 60.25% ...
12/12/2014 06:13:40 AM DEBUG: Data finishing 62.76% ...
12/12/2014 06:16:10 AM DEBUG: Data finishing 65.27% ...
12/12/2014 06:18:35 AM DEBUG: Data finishing 67.78% ...
12/12/2014 06:21:12 AM DEBUG: Data finishing 70.30% ...
12/12/2014 06:23:54 AM DEBUG: Data finishing 72.81% ...
12/12/2014 06:26:19 AM DEBUG: Data finishing 75.32% ...
12/12/2014 06:28:35 AM DEBUG: Data finishing 77.83% ...
12/12/2014 06:31:06 AM DEBUG: Data finishing 80.34% ...
12/12/2014 06:33:39 AM DEBUG: Data finishing 82.85% ...
12/12/2014 06:36:08 AM DEBUG: Data finishing 85.36% ...
12/12/2014 06:38:52 AM DEBUG: Data finishing 87.87% ...
12/12/2014 06:41:14 AM DEBUG: Data finishing 90.38% ...
12/12/2014 06:43:37 AM DEBUG: Data finishing 92.89% ...
12/12/2014 06:46:06 AM DEBUG: Data finishing 95.40% ...
12/12/2014 06:48:34 AM DEBUG: Data finishing 97.91% ...
12/12/2014 06:51:04 AM DEBUG: Iteration: 4
12/12/2014 06:51:04 AM DEBUG: Data size: 39832
12/12/2014 06:51:04 AM DEBUG: Data finishing 0.00% ...
12/12/2014 06:51:12 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_3.db 
12/12/2014 06:51:12 AM DEBUG: Total Feature Num: 10174094 
12/12/2014 06:53:54 AM DEBUG: Data finishing 2.51% ...
12/12/2014 06:56:33 AM DEBUG: Data finishing 5.02% ...
12/12/2014 06:59:11 AM DEBUG: Data finishing 7.53% ...
12/12/2014 07:01:38 AM DEBUG: Data finishing 10.04% ...
12/12/2014 07:04:07 AM DEBUG: Data finishing 12.55% ...
12/12/2014 07:07:00 AM DEBUG: Data finishing 15.06% ...
12/12/2014 07:09:34 AM DEBUG: Data finishing 17.57% ...
12/12/2014 07:12:15 AM DEBUG: Data finishing 20.08% ...
12/12/2014 07:14:59 AM DEBUG: Data finishing 22.59% ...
12/12/2014 07:17:32 AM DEBUG: Data finishing 25.11% ...
12/12/2014 07:20:04 AM DEBUG: Data finishing 27.62% ...
12/12/2014 07:22:29 AM DEBUG: Data finishing 30.13% ...
12/12/2014 07:25:13 AM DEBUG: Data finishing 32.64% ...
12/12/2014 07:27:48 AM DEBUG: Data finishing 35.15% ...
12/12/2014 07:30:24 AM DEBUG: Data finishing 37.66% ...
12/12/2014 07:32:58 AM DEBUG: Data finishing 40.17% ...
12/12/2014 07:35:31 AM DEBUG: Data finishing 42.68% ...
12/12/2014 07:37:52 AM DEBUG: Data finishing 45.19% ...
12/12/2014 07:40:28 AM DEBUG: Data finishing 47.70% ...
12/12/2014 07:42:49 AM DEBUG: Data finishing 50.21% ...
12/12/2014 07:45:12 AM DEBUG: Data finishing 52.72% ...
12/12/2014 07:47:38 AM DEBUG: Data finishing 55.23% ...
12/12/2014 07:50:08 AM DEBUG: Data finishing 57.74% ...
12/12/2014 07:52:53 AM DEBUG: Data finishing 60.25% ...
12/12/2014 07:55:21 AM DEBUG: Data finishing 62.76% ...
12/12/2014 07:57:54 AM DEBUG: Data finishing 65.27% ...
12/12/2014 08:00:20 AM DEBUG: Data finishing 67.78% ...
12/12/2014 08:03:00 AM DEBUG: Data finishing 70.30% ...
12/12/2014 08:05:45 AM DEBUG: Data finishing 72.81% ...
12/12/2014 08:08:12 AM DEBUG: Data finishing 75.32% ...
12/12/2014 08:10:30 AM DEBUG: Data finishing 77.83% ...
12/12/2014 08:13:03 AM DEBUG: Data finishing 80.34% ...
12/12/2014 08:15:39 AM DEBUG: Data finishing 82.85% ...
12/12/2014 08:18:11 AM DEBUG: Data finishing 85.36% ...
12/12/2014 08:20:57 AM DEBUG: Data finishing 87.87% ...
12/12/2014 08:23:21 AM DEBUG: Data finishing 90.38% ...
12/12/2014 08:25:47 AM DEBUG: Data finishing 92.89% ...
12/12/2014 08:28:19 AM DEBUG: Data finishing 95.40% ...
12/12/2014 08:30:49 AM DEBUG: Data finishing 97.91% ...
12/12/2014 08:33:23 AM DEBUG: Iteration: 5
12/12/2014 08:33:23 AM DEBUG: Data size: 39832
12/12/2014 08:33:23 AM DEBUG: Data finishing 0.00% ...
12/12/2014 08:33:31 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_4.db 
12/12/2014 08:33:31 AM DEBUG: Total Feature Num: 10248242 
12/12/2014 08:36:14 AM DEBUG: Data finishing 2.51% ...
12/12/2014 08:38:55 AM DEBUG: Data finishing 5.02% ...
12/12/2014 08:41:35 AM DEBUG: Data finishing 7.53% ...
12/12/2014 08:44:02 AM DEBUG: Data finishing 10.04% ...
12/12/2014 08:46:32 AM DEBUG: Data finishing 12.55% ...
12/12/2014 08:49:26 AM DEBUG: Data finishing 15.06% ...
12/12/2014 08:52:00 AM DEBUG: Data finishing 17.57% ...
12/12/2014 08:54:42 AM DEBUG: Data finishing 20.08% ...
12/12/2014 08:57:27 AM DEBUG: Data finishing 22.59% ...
12/12/2014 09:00:01 AM DEBUG: Data finishing 25.11% ...
12/12/2014 09:02:33 AM DEBUG: Data finishing 27.62% ...
12/12/2014 09:04:58 AM DEBUG: Data finishing 30.13% ...
12/12/2014 09:07:44 AM DEBUG: Data finishing 32.64% ...
12/12/2014 09:10:19 AM DEBUG: Data finishing 35.15% ...
12/12/2014 09:12:55 AM DEBUG: Data finishing 37.66% ...
12/12/2014 09:15:31 AM DEBUG: Data finishing 40.17% ...
12/12/2014 09:18:04 AM DEBUG: Data finishing 42.68% ...
12/12/2014 09:20:26 AM DEBUG: Data finishing 45.19% ...
12/12/2014 09:23:03 AM DEBUG: Data finishing 47.70% ...
12/12/2014 09:25:24 AM DEBUG: Data finishing 50.21% ...
12/12/2014 09:27:47 AM DEBUG: Data finishing 52.72% ...
12/12/2014 09:30:14 AM DEBUG: Data finishing 55.23% ...
12/12/2014 09:32:44 AM DEBUG: Data finishing 57.74% ...
12/12/2014 09:35:30 AM DEBUG: Data finishing 60.25% ...
12/12/2014 09:37:58 AM DEBUG: Data finishing 62.76% ...
12/12/2014 09:40:32 AM DEBUG: Data finishing 65.27% ...
12/12/2014 09:42:59 AM DEBUG: Data finishing 67.78% ...
12/12/2014 09:45:39 AM DEBUG: Data finishing 70.30% ...
12/12/2014 09:48:25 AM DEBUG: Data finishing 72.81% ...
12/12/2014 09:50:53 AM DEBUG: Data finishing 75.32% ...
12/12/2014 09:53:11 AM DEBUG: Data finishing 77.83% ...
12/12/2014 09:55:45 AM DEBUG: Data finishing 80.34% ...
12/12/2014 09:58:22 AM DEBUG: Data finishing 82.85% ...
12/12/2014 10:00:53 AM DEBUG: Data finishing 85.36% ...
12/12/2014 10:03:40 AM DEBUG: Data finishing 87.87% ...
12/12/2014 10:06:05 AM DEBUG: Data finishing 90.38% ...
12/12/2014 10:08:31 AM DEBUG: Data finishing 92.89% ...
12/12/2014 10:11:03 AM DEBUG: Data finishing 95.40% ...
12/12/2014 10:13:34 AM DEBUG: Data finishing 97.91% ...
12/12/2014 10:16:09 AM DEBUG: Iteration: 6
12/12/2014 10:16:09 AM DEBUG: Data size: 39832
12/12/2014 10:16:09 AM DEBUG: Data finishing 0.00% ...
12/12/2014 10:16:17 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_5.db 
12/12/2014 10:16:17 AM DEBUG: Total Feature Num: 10302575 
12/12/2014 10:18:59 AM DEBUG: Data finishing 2.51% ...
12/12/2014 10:21:39 AM DEBUG: Data finishing 5.02% ...
12/12/2014 10:24:17 AM DEBUG: Data finishing 7.53% ...
12/12/2014 10:26:44 AM DEBUG: Data finishing 10.04% ...
12/12/2014 10:29:15 AM DEBUG: Data finishing 12.55% ...
12/12/2014 10:32:09 AM DEBUG: Data finishing 15.06% ...
12/12/2014 10:34:43 AM DEBUG: Data finishing 17.57% ...
12/12/2014 10:37:25 AM DEBUG: Data finishing 20.08% ...
12/12/2014 10:40:09 AM DEBUG: Data finishing 22.59% ...
12/12/2014 10:42:43 AM DEBUG: Data finishing 25.11% ...
12/12/2014 10:45:14 AM DEBUG: Data finishing 27.62% ...
12/12/2014 10:47:40 AM DEBUG: Data finishing 30.13% ...
12/12/2014 10:50:25 AM DEBUG: Data finishing 32.64% ...
12/12/2014 10:53:00 AM DEBUG: Data finishing 35.15% ...
12/12/2014 10:55:36 AM DEBUG: Data finishing 37.66% ...
12/12/2014 10:58:12 AM DEBUG: Data finishing 40.17% ...
12/12/2014 11:00:44 AM DEBUG: Data finishing 42.68% ...
12/12/2014 11:03:07 AM DEBUG: Data finishing 45.19% ...
12/12/2014 11:05:43 AM DEBUG: Data finishing 47.70% ...
12/12/2014 11:08:04 AM DEBUG: Data finishing 50.21% ...
12/12/2014 11:10:27 AM DEBUG: Data finishing 52.72% ...
12/12/2014 11:12:54 AM DEBUG: Data finishing 55.23% ...
12/12/2014 11:15:24 AM DEBUG: Data finishing 57.74% ...
12/12/2014 11:18:10 AM DEBUG: Data finishing 60.25% ...
12/12/2014 11:20:37 AM DEBUG: Data finishing 62.76% ...
12/12/2014 11:23:11 AM DEBUG: Data finishing 65.27% ...
12/12/2014 11:25:38 AM DEBUG: Data finishing 67.78% ...
12/12/2014 11:28:17 AM DEBUG: Data finishing 70.30% ...
12/12/2014 11:31:03 AM DEBUG: Data finishing 72.81% ...
12/12/2014 11:33:31 AM DEBUG: Data finishing 75.32% ...
12/12/2014 11:35:49 AM DEBUG: Data finishing 77.83% ...
12/12/2014 11:38:22 AM DEBUG: Data finishing 80.34% ...
12/12/2014 11:40:59 AM DEBUG: Data finishing 82.85% ...
12/12/2014 11:43:31 AM DEBUG: Data finishing 85.36% ...
12/12/2014 11:46:17 AM DEBUG: Data finishing 87.87% ...
12/12/2014 11:48:41 AM DEBUG: Data finishing 90.38% ...
12/12/2014 11:51:07 AM DEBUG: Data finishing 92.89% ...
12/12/2014 11:53:40 AM DEBUG: Data finishing 95.40% ...
12/12/2014 11:56:10 AM DEBUG: Data finishing 97.91% ...
12/12/2014 11:58:45 AM DEBUG: Iteration: 7
12/12/2014 11:58:45 AM DEBUG: Data size: 39832
12/12/2014 11:58:45 AM DEBUG: Data finishing 0.00% ...
12/12/2014 11:58:54 AM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_6.db 
12/12/2014 11:58:54 AM DEBUG: Total Feature Num: 10342271 
12/12/2014 12:01:32 PM DEBUG: Data finishing 2.51% ...
12/12/2014 12:04:10 PM DEBUG: Data finishing 5.02% ...
12/12/2014 12:06:47 PM DEBUG: Data finishing 7.53% ...
12/12/2014 12:09:12 PM DEBUG: Data finishing 10.04% ...
12/12/2014 12:11:40 PM DEBUG: Data finishing 12.55% ...
12/12/2014 12:14:32 PM DEBUG: Data finishing 15.06% ...
12/12/2014 12:17:05 PM DEBUG: Data finishing 17.57% ...
12/12/2014 12:19:46 PM DEBUG: Data finishing 20.08% ...
12/12/2014 12:22:29 PM DEBUG: Data finishing 22.59% ...
12/12/2014 12:25:01 PM DEBUG: Data finishing 25.11% ...
12/12/2014 12:27:31 PM DEBUG: Data finishing 27.62% ...
12/12/2014 12:29:55 PM DEBUG: Data finishing 30.13% ...
12/12/2014 12:32:39 PM DEBUG: Data finishing 32.64% ...
12/12/2014 12:35:13 PM DEBUG: Data finishing 35.15% ...
12/12/2014 12:37:47 PM DEBUG: Data finishing 37.66% ...
12/12/2014 12:40:21 PM DEBUG: Data finishing 40.17% ...
12/12/2014 12:42:52 PM DEBUG: Data finishing 42.68% ...
12/12/2014 12:45:13 PM DEBUG: Data finishing 45.19% ...
12/12/2014 12:47:48 PM DEBUG: Data finishing 47.70% ...
12/12/2014 12:50:08 PM DEBUG: Data finishing 50.21% ...
12/12/2014 12:52:29 PM DEBUG: Data finishing 52.72% ...
12/12/2014 12:54:55 PM DEBUG: Data finishing 55.23% ...
12/12/2014 12:57:23 PM DEBUG: Data finishing 57.74% ...
12/12/2014 01:00:07 PM DEBUG: Data finishing 60.25% ...
12/12/2014 01:02:34 PM DEBUG: Data finishing 62.76% ...
12/12/2014 01:05:07 PM DEBUG: Data finishing 65.27% ...
12/12/2014 01:07:32 PM DEBUG: Data finishing 67.78% ...
12/12/2014 01:10:10 PM DEBUG: Data finishing 70.30% ...
12/12/2014 01:12:55 PM DEBUG: Data finishing 72.81% ...
12/12/2014 01:15:21 PM DEBUG: Data finishing 75.32% ...
12/12/2014 01:17:38 PM DEBUG: Data finishing 77.83% ...
12/12/2014 01:20:10 PM DEBUG: Data finishing 80.34% ...
12/12/2014 01:22:46 PM DEBUG: Data finishing 82.85% ...
12/12/2014 01:25:16 PM DEBUG: Data finishing 85.36% ...
12/12/2014 01:28:01 PM DEBUG: Data finishing 87.87% ...
12/12/2014 01:30:24 PM DEBUG: Data finishing 90.38% ...
12/12/2014 01:32:49 PM DEBUG: Data finishing 92.89% ...
12/12/2014 01:35:20 PM DEBUG: Data finishing 95.40% ...
12/12/2014 01:37:49 PM DEBUG: Data finishing 97.91% ...
12/12/2014 01:40:21 PM DEBUG: Iteration: 8
12/12/2014 01:40:21 PM DEBUG: Data size: 39832
12/12/2014 01:40:21 PM DEBUG: Data finishing 0.00% ...
12/12/2014 01:40:30 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Spinal_Weight_Iter_7.db 
12/12/2014 01:40:30 PM DEBUG: Total Feature Num: 10373455 
12/12/2014 01:43:07 PM DEBUG: Data finishing 2.51% ...
12/12/2014 01:45:44 PM DEBUG: Data finishing 5.02% ...
12/12/2014 01:48:19 PM DEBUG: Data finishing 7.53% ...
12/12/2014 01:50:44 PM DEBUG: Data finishing 10.04% ...
12/12/2014 01:53:11 PM DEBUG: Data finishing 12.55% ...
12/12/2014 01:56:04 PM DEBUG: Data finishing 15.06% ...
12/12/2014 01:58:37 PM DEBUG: Data finishing 17.57% ...
